reaction_ammo

[OBJECT:REACTION]

[REACTION:MANUFACTURE_AMMO_SMALL_LOW_QUALITY]
	[NAME:make 150 small caliber ammo from non-weapon metal]
	[BUILDING:BOWYER:CUSTOM_ALT_S]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_ALT_S]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_ALT_S]
	[REAGENT:A:150:BAR:NONE:NONE:NONE][REACTION_CLASS:WEAPON_METAL_LOW]
	[REAGENT:C:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]
		[CATEGORY_NAME:manufacture or break down ammunition]
		[CATEGORY_DESCRIPTION:create ammunition from gunpowder, brass and ammo grade metal, or dissasemble ammo to recover them.]
		[CATEGORY_KEY:CUSTOM_A]

[REACTION:MANUFACTURE_AMMO_SMALL_BRONZE]
	[NAME:make 150 bronze small caliber ammo]
	[BUILDING:BOWYER:CUSTOM_SHIFT_S]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_SHIFT_S]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_SHIFT_S]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[REAGENT:C:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SMALL_IRON]
	[NAME:make 150 iron small caliber ammo]
	[BUILDING:BOWYER:CUSTOM_S]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_S]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_S]
