tissue_template_magic

[OBJECT:TISSUE_TEMPLATE]

[TISSUE_TEMPLATE:FLAME_TEMPLATE]
	[TISSUE_NAME:flames:NP]
	[MUSCULAR]
	[FUNCTIONAL]
	[STRUCTURAL]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:FLAME]
	[TISSUE_MAT_STATE:GAS]
	[RELATIVE_THICKNESS:1]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MAGIC_TEMPLATE]
	[TISSUE_NAME:ether:NP]
	[THICKENS_ON_STRENGTH]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:MAGIC]
	[RELATIVE_THICKNESS:10]
	[HEALING_RATE:1]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:LIGHTNING_TEMPLATE]
	[TISSUE_NAME:lightning:NP]
	[THICKENS_ON_STRENGTH]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:LIGHTNING]
	[RELATIVE_THICKNESS:10]
	[HEALING_RATE:1]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:CLOUD_TEMPLATE]
	[TISSUE_NAME:vapor:NP]
	[THICKENS_ON_STRENGTH]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:CLOUD]
	[RELATIVE_THICKNESS:1]
	[INSULATION:25]
	[HEALING_RATE:1]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:LIGHT_TEMPLATE]
	[TISSUE_NAME:light:NP]
	[THICKENS_ON_STRENGTH]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:LIGHT]
	[INSULATION:100]
	[RELATIVE_THICKNESS:10]
	[HEALING_RATE:10]
	[PAIN_RECEPTORS:5]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:SHROUD_TEMPLATE]
	[TISSUE_NAME:shadows:NP]
	[THICKENS_ON_STRENGTH]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SHADOWS]
	[INSULATION:100]
	[RELATIVE_THICKNESS:5]
	[HEALING_RATE:100]
	[PAIN_RECEPTORS:10]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:SHROUD_NIGHTMARE_TEMPLATE]
	[TISSUE_NAME:thick shadows:NP]
	[THICKENS_ON_STRENGTH]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SHADOWS]
	[INSULATION:100]
	[RELATIVE_THICKNESS:10]
	[HEALING_RATE:10]
	[PAIN_RECEPTORS:5]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:FAT_NIGHTMARE_TEMPLATE]
	[TISSUE_NAME:dark sludge:NP]
	[THICKENS_ON_ENERGY_STORAGE]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SHADOWS]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:100]
	[VASCULAR:3]
	[PAIN_RECEPTORS:2]
	[CONNECTS]
	[INSULATION:100]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MUSCLE_NIGHTMARE_TEMPLATE]
	[TISSUE_NAME:darkness:NP]
	[THICKENS_ON_STRENGTH]
	[ARTERIES]
	[SCARS]
	[MUSCULAR]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SHADOWS]
	[RELATIVE_THICKNESS:3]
	[HEALING_RATE:100]
	[VASCULAR:10]
	[PAIN_RECEPTORS:10]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]
